316 620
32 143 131
32 23 450
90 102 429
298 302 766
64 61 1136
210 204 582
226 218 1002
56 53 844
182 179 142
195 189 577
93 91 595
84 78 1099
92 96 536
45 44 374
63 57 768
110 100 221
71 69 1155
226 234 1162
148 156 485
72 71 816
63 56 858
149 146 437
198 194 656
207 209 908
160 158 722
61 55 1081
132 116 858
138 136 1029
147 159 436
199 195 396
276 286 318
231 237 500
123 119 1139
84 73 71
184 175 489
214 213 702
57 68 704
253 251 449
46 39 985
281 266 732
253 272 266
22 11 163
110 109 843
196 198 18
257 275 297
30 33 674
28 21 135
138 141 17
96 88 19
15 10 656
162 151 3
36 31 201
153 152 577
105 106 342
280 282 441
94 97 436
135 119 244
7 2 462
278 284 1067
119 117 524
23 25 1138
128 145 436
84 82 471
198 200 951
207 204 592
242 239 1094
266 257 689
66 68 267
216 220 170
71 66 183
109 108 266
128 140 1182
166 168 708
188 203 908
200 193 488
128 136 265
146 159 472
303 308 205
217 218 849
225 226 1109
299 302 753
102 95 855
289 287 1199
46 38 119
64 55 742
58 50 254
212 214 988
118 136 238
150 149 861
103 108 706
135 117 336
98 111 765
43 37 139
185 173 1061
126 129 1184
145 132 735
157 145 274
122 125 121
141 134 409
97 98 1126
116 114 221
149 161 996
4 8 587
171 178 401
169 167 792
176 188 231
130 127 254
174 169 1153
315 311 825
163 158 742
267 265 258
21 27 1107
78 82 965
253 252 573
243 245 1014
154 161 576
14 2 221
93 95 537
123 135 210
156 155 423
287 288 256
280 294 908
120 112 515
165 166 642
270 273 814
131 132 446
313 309 35
218 230 733
124 118 1022
217 222 771
221 206 986
239 231 697
13 16 703
130 146 804
221 214 851
168 178 595
173 171 283
174 178 482
91 99 394
80 86 1011
209 203 46
142 146 491
113 114 516
154 151 35
294 285 313
232 233 70
8 24 340
199 196 1001
264 245 258
251 252 1146
147 153 1061
240 259 333
88 72 494
215 208 744
245 246 1041
293 290 708
276 258 9
147 134 499
7 6 209
154 155 524
193 188 20
119 110 117
10 1 492
41 46 1134
196 201 1131
207 212 670
201 208 99
272 275 920
304 305 903
182 180 716
17 22 1141
246 266 110
213 211 1147
199 190 863
106 99 734
117 116 369
68 75 773
143 125 440
189 192 260
224 222 894
122 103 392
86 87 802
269 265 409
53 42 447
175 174 486
36 29 167
236 229 322
102 100 545
300 292 918
113 115 151
30 28 23
312 315 548
171 172 94
16 18 589
169 172 1194
197 192 1199
129 113 552
62 61 1082
49 48 23
127 107 702
214 219 692
204 205 263
37 40 374
232 234 423
59 67 767
281 263 225
75 73 838
216 230 89
189 181 1104
147 167 1156
31 39 476
286 294 471
231 219 34
176 177 711
186 185 563
179 193 460
101 90 790
238 241 410
264 281 652
164 171 472
36 28 570
13 11 1112
40 39 467
181 191 1193
138 139 292
50 41 1108
180 194 293
100 120 420
148 152 995
281 301 651
89 85 457
62 60 316
142 139 1008
34 30 307
207 210 1125
43 47 427
151 157 194
242 250 415
67 62 928
153 173 942
3 1 506
162 160 1166
224 228 509
165 170 687
235 224 319
18 23 196
162 156 851
185 202 116
267 285 966
197 185 877
261 277 448
183 170 982
276 279 539
39 42 303
233 222 134
24 12 588
133 115 769
167 164 482
302 308 543
186 195 533
263 243 669
123 124 226
270 274 401
262 242 328
62 64 371
70 63 457
21 25 708
143 160 1131
260 261 310
56 52 246
296 287 346
74 79 118
29 32 70
57 60 527
177 190 684
11 18 844
131 133 814
259 256 448
200 210 1058
166 148 1005
73 69 859
216 215 949
112 129 828
187 186 521
154 153 672
183 194 768
142 143 972
228 225 106
178 194 949
43 34 444
206 209 548
277 280 13
76 72 336
161 152 1041
296 291 413
51 45 692
251 269 953
296 303 512
3 6 484
193 192 1148
49 45 250
14 9 565
308 306 645
221 233 733
270 286 211
220 229 795
285 273 1096
309 314 395
293 284 107
162 165 213
12 17 516
160 148 316
81 77 437
216 217 69
299 301 710
202 182 601
192 190 425
144 148 851
73 76 224
239 243 183
314 312 1192
31 41 537
247 246 141
181 179 287
26 31 660
4 7 1083
244 245 950
201 202 616
96 87 702
297 300 835
255 254 851
27 19 603
5 2 376
127 109 1101
299 297 1063
271 285 923
208 210 711
227 237 1165
111 113 347
235 230 722
273 255 849
247 250 795
